method;subMethod;minimumFrequency;beamWidth;beamDepth;firstGroupSize;firstGroupDescriptors;firstGroupScore;qualityScore;executionTime;
RankingWise;kRandoms;10;5;3;16;{0=1, 9=1, 7=4};0.13749659229240277;0.11140464865713462;0.8380465;
RankingWise;kBests;10;5;3;12;{2=194};0.17136466331544153;0.15148084245959997;4.8480456;
RankingWise;kFirsts;10;5;4;11;{0=1, 1=0, 3=14};0.14659234028182538;0.12936883746398622;1.0149964;
RankingWise;kRandoms;10;5;4;12;{1=5, 4=6, 5=1};0.19520962946485473;0.1376280529352431;0.8158757;
RankingWise;kBests;10;5;4;12;{2=194};0.17136466331544153;0.1575050382813159;5.2648764;
RankingWise;kFirsts;10;5;5;11;{0=1, 1=0, 3=14};0.14659234028182538;0.13827779392017212;0.8889307;
RankingWise;kRandoms;10;5;5;12;{2=194};0.17136466331544153;0.1575050382813159;4.4019405;
RankingWise;kBests;10;5;5;12;{2=194};0.17136466331544153;0.1575050382813159;5.6457991;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.048492061956744756;1;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.052780680292005756;5;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.05686289644385489;60;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.06118638750998265;300;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.06302331234251388;600;
LabelWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.07013181713766088;0.06331692784911089;900;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.02379811151882288;1;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.024530432093392313;5;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.026830387306376862;60;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.027659623415679707;300;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.028186860488714494;600;
PairWise;timer stop at x time;10;infini;infini;315;{1=0};0.030323746637886454;0.02847618658200829;900;
RankingWise;timer stop at x time;10;infini;infini;198;{0=1,1=0};0.060286372675457556;0.031086294892484195;1;
RankingWise;timer stop at x time;10;infini;infini;12;{2=194};0.17136466331544153;0.1368710584959189;5;
RankingWise;timer stop at x time;10;infini;infini;10;{1=4, 3=11};0.2724507654195666;0.21939787195092325;60;
RankingWise;timer stop at x time;10;infini;infini;10;{1=4, 3=11};0.2724507654195666;0.2591803280721391;300;
RankingWise;timer stop at x time;10;infini;infini;10;{1=4, 3=11};0.2724507654195666;0.2591803280721391;600;
RankingWise;timer stop at x time;10;infini;infini;10;{1=4, 3=11};0.2724507654195666;0.2591803280721391;900;
